leafnumber,leafnumber_range1,leafnumber_range2,eachLenDist_a,eachLenDist_b,eachLen,eachLeafArea,LeafArea,LAI_expect,LAI,leaf_length,leaf_area
2,1,2,1,1,1,3.2876,5.201825229,0.012484381,0.012743314,3.4,8.704
,2,2,1,1,0.60653066,1.914225229,,,,4.8,18.816
3,1,3,1.313585346,4.010138672,0.991076112,3.255304309,11.42507126,0.027420171,0.063926784,9.6,69.888
,2,3,1.313585346,4.010138672,1.158501593,3.870093821,,,,3.8,7.6
,3,3,1.313585346,4.010138672,1.272564884,4.299673127,,,,6.5,36.92
4,1,4,4.704366284,4.010138672,3.549358296,14.6947175,74.40194654,0.178564672,0.118650964,10.1,94.536
,2,4,4.704366284,4.010138672,4.148962114,18.0090386,,,,1.8,2.448
,3,4,4.704366284,4.010138672,4.557458982,20.40472045,,,,4.4,12.672
,4,4,4.704366284,4.010138672,4.704351248,21.29346998,,,,7.6,45.6
5,1,5,7.33446031,4.010138672,5.533716122,26.58217197,175.1280904,0.420307417,0.392579721,1.2,0.768
,2,5,7.33446031,4.010138672,6.468543502,33.09488587,,,,5.6,28.224
,3,5,7.33446031,4.010138672,7.105420795,37.86658306,,,,8.7,59.16
,4,5,7.33446031,4.010138672,7.334436868,39.64876058,,,,2.8,6.048
,5,5,7.33446031,4.010138672,7.114385912,37.93568889,,,,4.7,19.552
6,1,6,9.4834036,4.010138672,7.15505452,38.24984987,303.5147639,0.728435433,0.590958933,8.4,61.824
,2,6,9.4834036,4.010138672,8.363779493,48.0921324,,,,3.1,7.688
,3,6,9.4834036,4.010138672,9.187257181,55.35707215,,,,6.4,32.256
,4,6,9.4834036,4.010138672,9.48337329,58.08035098,,,,10.2,84.048
,5,6,9.4834036,4.010138672,9.198849011,55.46257535,,,,11.1,102.12
,6,6,9.4834036,4.010138672,8.384898456,48.27278312,,,,11,102.96
7,1,7,11.30030926,4.010138672,8.525876604,49.48634602,445.8160927,1.069958622,1.22013696,2.7,3.888
,2,7,11.30030926,4.010138672,9.966178691,62.64630451,,,,4.1,10.824
,3,7,11.30030926,4.010138672,10.94742476,72.40647365,,,,7.7,46.816
