leafnumber,leafnumber_range1,leafnumber_range2,eachLenDist_a,eachLenDist_b,eachLen,eachLeafArea,LeafArea,LAI_expect,LAI,leaf_area,leaf_length
2,1,2,1,1,1,0.4728,0.56752506,0.002674499,0.012695718,5.2,2.6
,2,2,1,1,0.60653066,0.09472506,,,,24.624,5.7
3,1,3,3.809923162,1.137232344,3.782284264,10.25643593,16.34508209,0.077027283,0.0461376,53.792,8.2
,2,3,3.809923162,1.137232344,2.857165021,5.620788439,,,,8.432,3.4
,3,3,3.809923162,1.137232344,0.996121817,0.467857724,,,,22.8,5.7
4,1,4,4.807587763,1.444671565,4.585158529,15.39594016,35.38061655,0.1667335,0.113622309,55.76,8.2
,2,4,4.807587763,1.444671565,4.465202901,14.56213749,,,,7.616,3.4
,3,4,4.807587763,1.444671565,2.69302576,4.942181167,,,,22.8,5.7
,4,4,4.807587763,1.444671565,1.005894154,0.480357737,,,,51.392,8.8
5,1,5,5.581436548,1.752110786,5.090185054,19.16033161,60.04995335,0.282989385,0.257613913,9.504,3.6
,2,5,5.581436548,1.752110786,5.525854229,22.73753576,,,,25.056,5.8
,3,5,5.581436548,1.752110786,4.331081031,13.65728836,,,,61.44,8
,4,5,5.581436548,1.752110786,2.450892293,4.020279578,,,,2.72,2
,5,5,5.581436548,1.752110786,1.001343713,0.474518047,,,,9.424,3.8
6,1,6,6.213717043,2.059550008,5.443521847,22.03810925,89.62032782,0.422341734,0.445341867,73.656,9.3
,2,6,6.213717043,2.059550008,6.211120176,28.98225695,,,,8.184,3.3
,3,6,6.213717043,2.059550008,5.598531393,23.36400514,,,,26.448,5.7
,4,6,6.213717043,2.059550008,3.986506962,11.46536206,,,,69.6,10
,5,6,6.213717043,2.059550008,2.242462346,3.302271241,,,,2.304,1.8
,6,6,6.213717043,2.059550008,0.996487867,0.468323176,,,,6.696,3.1
7,1,7,8.055498928,2.279217914,6.881608956,35.82380319,171.4142037,0.807800795,0.956621867,23.712,5.7
,2,7,8.055498928,2.279217914,7.995277801,48.78638598,,,,76.8,9.6
,3,7,8.055498928,2.279217914,7.662595611,44.70504396,,,,9.728,3.8
,4,7,8.055498928,2.279217914,6.057829357,27.51972094,,,,23.256,5.7
,5,7,8.055498928,2.279217914,3.950544381,11.24760701,,,,73.656,9.9
,6,7,8.055498928,2.279217914,2.125179585,2.928990535,,,,7.888,3.4
,7,7,8.055498928,2.279217914,0.943046497,0.402652106,,,,35.84,7
8,1,8,9.149396871,2.560851092,7.5984167,43.93819348,252.3339527,1.189140475,1.23756544,81.536,9.8
,2,8,9.149396871,2.560851092,8.932580732,61.24309297,,,,8.448,3.3
,3,8,9.149396871,2.560851092,9.015851607,62.41814524,,,,30.72,6.4
,4,8,9.149396871,2.560851092,7.812904609,46.52697465,,,,61.8,10.3
,5,8,9.149396871,2.560851092,5.812918721,25.26152463,,,,7.44,3
,6,8,9.149396871,2.560851092,3.713230772,9.86284891,,,,26.904,5.9
,7,8,9.149396871,2.560851092,2.036505527,2.661460192,,,,8.68,3.5
,8,8,9.149396871,2.560851092,0.95894833,0.421712604,,,,23.76,5.4
9,1,9,10.11428324,2.84248427,8.197835756,51.35860838,346.20381,1.631508399,1.461979482,8.064,3.6
,2,9,10.11428324,2.84248427,9.679643322,72.18409108,,,,30.16,6.5
,3,9,10.11428324,2.84248427,10.09876568,78.71560407,,,,4.16,2.6
,4,9,10.11428324,2.84248427,9.309493119,66.65084225,,,,9.504,3.3
,5,9,10.11428324,2.84248427,7.582851907,43.75321421,,,,26.448,5.8
,6,9,10.11428324,2.84248427,5.457426715,22.15546763,,,,8.944,4.3
,7,9,10.11428324,2.84248427,3.470500008,8.540245834,,,,13.568,5.3
,8,9,10.11428324,2.84248427,1.950046584,2.412797487,,,,13.056,5.1
,9,9,10.11428324,2.84248427,0.968159078,0.432939062,,,,25.192,6.7
10,1,10,10.97740351,3.124117448,8.711991418,58.18424996,452.1835381,2.130944892,2.169792,12.288,4.8
,2,10,10.97740351,3.124117448,10.28929469,81.77823832,,,,19.952,5.8
,3,10,10.97740351,3.124117448,10.96874368,93.175617,,,,12.288,4.8
,4,10,10.97740351,3.124117448,10.55434498,86.13592394,,,,25.392,6.9
,5,10,10.97740351,3.124117448,9.16661092,64.57393219,,,,8.704,3.4
,6,10,10.97740351,3.124117448,7.186036617,39.16895614,,,,18.816,4.8
,7,10,10.97740351,3.124117448,5.084791729,19.11796217,,,,7.688,3.1
,8,10,10.97740351,3.124117448,3.247581266,7.409124929,,,,32.256,6.4
,9,10,10.97740351,3.124117448,1.872190345,2.19917133,,,,84.048,10.2
,10,10,10.97740351,3.124117448,0.974188706,0.440362181,,,,102.12,11.1
11,1,11,11.75819076,3.405750625,9.161999657,64.507451,569.5520453,2.68405176,3.194048,102.96,11
,2,11,11.75819076,3.405750625,10.79804959,90.24243724,,,,6.48,3
