DAP,Ta,midRateLN,earlyRateLN,leafRate,LN
1,18,0.612244874,0.030612244,0.030612244,2.030612244
2,18,0.612244874,0.030612244,0.030612244,2.061224487
3,18,0.612244874,0.030612244,0.612244874,2.673469362
4,18,0.612244874,0.030612244,0.612244874,3.285714236
5,18,0.40816325,0.020408162,0.40816325,3.693877486
6,18,0.40816325,0.020408162,0.40816325,4.102040735
7,18,0.306122437,0.015306122,0.306122437,4.408163172
8,18,0.306122437,0.015306122,0.306122437,4.714285609
9,18,0.306122437,0.015306122,0.306122437,5.020408047
10,18,0.24489795,0.012244897,0.24489795,5.265305996
11,18,0.24489795,0.012244897,0.24489795,5.510203946
12,18,0.24489795,0.012244897,0.24489795,5.755101896
13,18,0.24489795,0.012244897,0.24489795,5.999999846
14,18,0.24489795,0.012244897,0.24489795,6.244897795
15,18,0.204081625,0.010204081,0.204081625,6.44897942
16,18,0.204081625,0.010204081,0.204081625,6.653061045
17,18,0.204081625,0.010204081,0.204081625,6.85714267
18,18,0.204081625,0.010204081,0.204081625,7.061224294
19,18,0.174927107,0.008746355,0.174927107,7.236151401
20,18,0.174927107,0.008746355,0.174927107,7.411078508
21,18,0.174927107,0.008746355,0.174927107,7.586005615
22,18,0.174927107,0.008746355,0.174927107,7.760932722
23,18,0.174927107,0.008746355,0.174927107,7.935859829
24,18,0.174927107,0.008746355,0.174927107,8.110786936
25,18,0.153061219,0.007653061,0.153061219,8.263848155
26,18,0.153061219,0.007653061,0.153061219,8.416909373
27,18,0.153061219,0.007653061,0.153061219,8.569970592
28,18,0.153061219,0.007653061,0.153061219,8.72303181
29,18,0.153061219,0.007653061,0.153061219,8.876093029
30,18,0.153061219,0.007653061,0.153061219,9.029154247
