DAP,Ta,midRateLN,earlyRateLN,leafRate,LN,LN 실측 평균
1,21,0.950671766,0.047533588,0.047533588,3.047533588,3.777777778
2,21,0.935843762,0.046792188,0.046792188,3.094325776,
3,21,0.921691995,0.0460846,0.0460846,3.140410376,
4,21,0.908166436,0.045408322,0.726533149,3.866943525,
5,21,0.737537355,0.036876868,0.590029884,4.456973409,
6,21,0.639899554,0.031994978,0.511919644,4.968893052,
7,21,0.573973975,0.028698699,0.45917918,5.428072233,5.333333333
8,21,0.525419555,0.026270978,0.420335644,5.848407877,
9,21,0.487656702,0.024382835,0.390125362,6.238533239,
10,21,0.457161193,0.02285806,0.365728954,6.604262193,
11,21,0.43184465,0.021592233,0.34547572,6.949737913,
12,21,0.410377389,0.020518869,0.328301911,7.278039825,
13,21,0.391865855,0.019593293,0.313492684,7.591532509,
14,21,0.375683736,0.018784187,0.300546989,7.892079498,7.333333333
15,21,0.36137691,0.018068845,0.289101528,8.181181025,
16,21,0.348606795,0.091737317,0.278885436,8.460066461,
17,21,0.337114999,0.091737317,0.269691999,8.729758461,
18,21,0.326700368,0.091737317,0.261360294,8.991118755,
19,21,0.317203607,0.091737317,0.253762885,9.24488164,
20,21,0.308496681,0.091737317,0.246797344,9.491678985,
21,21,0.300475322,0.091737317,0.240380258,9.732059242,9.75
22,21,0.293053631,0.091737317,0.234442905,9.966502147,
23,21,0.286160105,0.091737317,0.228928084,10.19543023,
24,21,0.279734669,0.091737317,0.223787735,10.41921797,
25,21,0.273726426,0.091737317,0.218981141,10.63819911,
26,21,0.268091927,0.091737317,0.214473542,10.85267265,
27,21,0.26279382,0.091737317,0.210235056,11.0629077,
28,21,0.257799791,0.091737317,0.206239833,11.26914754,10
29,21,0.253081725,0.091737317,0.20246538,11.47161292,
30,21,0.248615022,0.091737317,0.198892018,11.67050494,
31,21,0.244378055,0.091737317,0.195502444,11.86600738,
32,21,0.240351721,0.091737317,0.192281377,12.05828876,
33,21,0.236519075,0.091737317,0.18921526,12.24750402,
34,21,0.232865023,0.091737317,0.186292018,12.43379603,
35,21,0.229376072,0.091737317,0.183500858,12.61729689,
36,21,0.22604012,0.091737317,0.180832096,12.79812899,
37,21,0.222846269,0.091737317,0.178277015,12.976406,
38,21,0.219784684,0.091737317,0.175827748,13.15223375,13.66666667
39,21,0.216846458,0.091737317,0.173477166,13.32571092,
40,21,0.214023501,0.091737317,0.1712188,13.49692972,
41,21,0.21130845,0.091737317,0.16904676,13.66597648,
42,21,0.208694586,0.091737317,0.166955669,13.83293215,
43,21,0.20617576,0.091737317,0.164940608,13.99787275,
44,21,0.203746337,0.091737317,0.16299707,14.16086982,
45,21,0.201401138,0.091737317,0.16112091,14.32199073,
46,21,0.199135396,0.091737317,0.159308317,14.48129905,
47,21,0.196944714,0.091737317,0.157555771,14.63885482,
48,21,0.194825028,0.091737317,0.155860022,14.79471484,
49,21,0.192772576,0.091737317,0.154218061,14.94893291,
50,21,0.190783872,0.091737317,0.152627097,15.10156,
51,21,0.188855674,0.091737317,0.15108454,15.25264454,
52,21,0.186984971,0.091737317,0.149587977,15.40223252,
53,21,0.185168955,0.091737317,0.148135164,15.55036768,
54,21,0.183405007,0.091737317,0.146724006,15.69709169,
55,21,0.181690682,0.091737317,0.145352546,15.84244423,
