DAP,Ta,midRateLN,earlyRateLN,leafRate,LN,LN_observed
1,24,0.913398023,0.045669901,0.045669901,2.045669901,2
2,24,0.913398023,0.045669901,0.045669901,2.091339802,
3,24,0.913398023,0.045669901,0.913398023,3.004737825,
4,24,0.608932015,0.030446601,0.608932015,3.613669841,
5,24,0.608932015,0.030446601,0.608932015,4.222601856,
6,24,0.456699012,0.022834951,0.456699012,4.679300868,
7,24,0.456699012,0.022834951,0.456699012,5.135999879,4.625
8,24,0.365359209,0.01826796,0.365359209,5.501359089,
9,24,0.365359209,0.01826796,0.365359209,5.866718298,
10,24,0.365359209,0.01826796,0.365359209,6.232077507,
11,24,0.304466008,0.0152233,0.304466008,6.536543515,
12,24,0.304466008,0.0152233,0.304466008,6.841009522,
13,24,0.304466008,0.0152233,0.304466008,7.14547553,
14,24,0.260970864,0.013048543,0.260970864,7.406446394,7.666666667
15,24,0.260970864,0.013048543,0.260970864,7.667417258,
16,24,0.260970864,0.013048543,0.260970864,7.928388121,
17,24,0.260970864,0.013048543,0.260970864,8.189358985,
18,24,0.228349506,0.011417475,0.228349506,8.417708491,
19,24,0.228349506,0.011417475,0.228349506,8.646057997,
20,24,0.228349506,0.011417475,0.228349506,8.874407502,
21,24,0.228349506,0.011417475,0.228349506,9.102757008,9
22,24,0.202977338,0.010148867,0.202977338,9.305734347,
23,24,0.202977338,0.010148867,0.202977338,9.508711685,
24,24,0.202977338,0.010148867,0.202977338,9.711689024,
25,24,0.202977338,0.010148867,0.202977338,9.914666362,
26,24,0.202977338,0.010148867,0.202977338,10.1176437,
27,24,0.182679605,0.00913398,0.182679605,10.30032331,
28,24,0.182679605,0.00913398,0.182679605,10.48300291,10.5
29,24,0.182679605,0.00913398,0.182679605,10.66568251,
30,24,0.182679605,0.00913398,0.182679605,10.84836212,
