date,DAP,fname,ti_value,leaf_cnt,temp,init_leaf_count,leaf_incr_count,GDD,tempRate,est_inc_leaf,temp1
2021-09-07,0,C12_L02_01_001,21.81818182,3,21,3,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_001,21.55172414,5,21,3,2,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_001,21.21428571,9,21,3,6,256,15.62428274,4.080244564,21
2021-10-19,0,C12_L02_01_001,21.1,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C12_L02_01_001,21.7,6,21,4,2,112,6.8356237,2.19755271,21
2021-11-02,14,C12_L02_01_001,21.88888889,8,21,4,4,224,13.6712474,3.587434022,21
2021-11-23,0,C12_L02_01_001,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_001,24,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_001,24,8,24,2,6,266,12.88799625,4.242661091,24
2021-12-28,0,C12_L02_01_001,23.54545455,1,23,1,0,0,0,1.28549969,
2022-01-11,7,C12_L02_01_001,23.81818182,5,23,1,4,126,6.591791281,2.343223459,
2022-01-18,14,C12_L02_01_001,24,9,24,1,8,266,12.88799625,4.242661091,24
2021-09-07,0,C12_L02_01_002,21.81818182,4,21,4,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_002,21.48484848,4,21,4,0,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_002,21.25,8,21,4,4,256,15.62428274,4.080244564,21
2021-10-19,0,C12_L02_01_002,20.85714286,3,20,3,0,0,0,1.28549969,
2021-10-26,7,C12_L02_01_002,21.72727273,6,21,3,3,112,6.8356237,2.19755271,21
2021-11-02,14,C12_L02_01_002,21.8,7,21,3,4,224,13.6712474,3.587434022,21
2021-11-09,21,C12_L02_01_002,21.66666667,7,21,3,4,336,20.5068711,5.480090718,21
2021-11-16,28,C12_L02_01_002,21.66666667,11,21,3,8,448,27.3424948,7.697768549,21
2021-11-23,0,C12_L02_01_002,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_002,24,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_002,24,8,24,2,6,266,12.88799625,4.242661091,24
2021-12-28,0,C12_L02_01_002,23.4,1,23,1,0,0,0,1.28549969,
