date,DAP,fname,ti_value,temp,GDD,leaf_cnt,init_leaf_count,leaf_incr_count,leaf_width,leaf_length,LAI,temp1
2021-09-07,7,C15_L02_01_001,19.75,18,98,3,3,0,2.5,2.6,0.0468,18
2021-09-14,14,C15_L02_01_001,18.91176471,18,182,3,3,0,5.4,5.7,0.221616,18
2021-09-23,23,C15_L02_01_001,19.5,18,322,8,3,5,8.2,8.2,1.291008,18
2021-09-07,7,C15_L02_01_002,19.83333333,18,98,4,4,0,3.1,3.4,0.101184,18
2021-09-14,14,C15_L02_01_002,18.97142857,18,182,4,4,0,5,5.7,0.2736,18
2021-09-23,23,C15_L02_01_002,19.5,18,322,9,4,5,8.5,8.2,1.50552,18
2021-09-07,7,C15_L02_01_003,19.75,18,98,4,4,0,2.8,3.4,0.091392,18
2021-09-14,14,C15_L02_01_003,18.91428571,18,182,5,4,1,5,5.7,0.342,18
2021-09-23,23,C15_L02_01_003,19.58333333,18,322,8,4,4,7.3,8.8,1.233408,18
2021-09-07,7,C15_L02_01_004,19.66666667,18,98,4,4,0,3.3,3.6,0.114048,18
2021-09-14,14,C15_L02_01_004,18.85714286,18,182,5,4,1,5.4,5.8,0.37584,18
2021-09-23,23,C15_L02_01_004,19.45454545,18,322,8,4,4,9.6,8,1.47456,18
2021-08-31,0,C15_L02_01_005,19.91666667,18,0,2,2,0,1.7,2,0.01632,18
2021-09-07,7,C15_L02_01_005,19.9,18,98,3,2,1,3.1,3.8,0.084816,18
2021-09-23,23,C15_L02_01_005,19.46153846,18,322,9,2,7,9.9,9.3,1.988712,18
2021-09-07,7,C15_L02_01_006,19.76923077,18,98,4,4,0,3.1,3.3,0.098208,18
2021-09-14,14,C15_L02_01_006,18.91176471,18,182,5,4,1,5.8,5.7,0.39672,18
2021-09-23,23,C15_L02_01_006,19,18,322,8,4,4,8.7,10,1.6704,18
2021-08-31,0,C15_L02_01_007,19.91666667,18,0,2,2,0,1.6,1.8,0.013824,18
2021-09-07,7,C15_L02_01_007,19.90909091,18,98,4,2,2,2.7,3.1,0.080352,18
2021-09-14,14,C15_L02_01_007,18.94285714,18,182,4,2,2,5.2,5.7,0.284544,18
2021-09-23,23,C15_L02_01_007,19.5,18,322,9,2,7,10,9.6,2.0736,18
